country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,1,47,27.0,19.0,0,5,2,0,0,1,0,0,54.0,12.0,0,2,0
PK,0,28,22.0,6.0,0,12,1,0,0,0,0,0,38.0,16.0,0,4,0
PK,0,46,21.0,25.0,0,0,0,0,0,0,0,0,54.0,10.0,0,2,0
PK,0,30,29.0,1.0,0,0,2,0,1,0,1,0,24.0,6.0,0,3,0
PK,1,32,18.0,14.0,0,5,1,0,1,0,1,1,36.0,8.0,0,3,0
PK,1,24,19.0,5.0,0,7,2,0,0,0,1,0,28.0,11.0,0,2,0
PK,0,26,18.0,8.0,0,5,0,0,0,0,1,0,37.0,0.0,0,1,0
PK,1,25,17.0,7.0,0,5,2,0,0,0,0,0,33.0,7.0,0,1,0
PK,1,17,14.0,2.0,0,3,0,0,0,0,0,0,21.0,5.0,0,1,0
PK,1,32,15.0,16.0,0,0,2,0,0,0,1,1,43.0,0.0,0,0,0
PK,0,34,23.0,10.0,1,14,1,0,1,0,0,0,42.0,14.0,0,4,0
PK,1,41,14.0,27.0,1,0,2,0,0,0,1,0,45.0,3.0,0,2,0
PK,0,46,18.0,28.0,1,12,0,1,0,0,0,0,50.0,11.0,0,3,0
PK,0,45,23.0,22.0,1,0,1,1,0,0,0,0,55.0,0.0,0,2,0
PK,0,27,20.0,6.0,1,0,2,0,0,0,0,0,33.0,10.0,0,4,0
PK,0,37,15.0,22.0,0,0,1,0,0,0,1,0,45.0,10.0,0,3,0
PK,0,26,18.0,7.0,0,0,2,0,0,0,0,0,33.0,7.0,0,2,0
PK,0,26,20.0,5.0,0,0,2,0,0,0,1,0,27.0,0.0,0,1,0
PK,0,45,16.0,28.0,0,0,0,0,0,0,1,0,50.0,0.0,0,0,0
PK,1,24,18.0,6.0,0,0,2,0,0,0,0,1,26.0,10.0,0,2,0
PK,1,42,17.0,25.0,0,0,1,0,0,0,1,0,44.0,0.0,0,0,0
PK,0,18,17.0,1.0,0,2,1,0,0,0,1,0,18.0,9.0,0,1,0
PK,0,27,20.0,7.0,0,0,0,0,0,0,0,0,43.0,0.0,0,0,0
